TRANSACTION_ID,TRANSACTION_DATE,COMPANY_CODE,DEPARTMENT,COST_CENTRE,GL_ACCOUNT,DESCRIPTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY,SOURCE_SYSTEM,TARGET_SYSTEM,STATUS,ERROR_TYPE,PERIOD
TXN-00013,2024-03-19,CORP-US,Procurement,CC004,7001-Depreciation,Journal entry 13 - Monthly accrual,43069.04,43069.04,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-03
TXN-00014,2024-08-27,CORP-NG,Sales,CC001,8001-Tax,Journal entry 14 - Monthly accrual,29834.83,29834.83,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-08
TXN-00015,2024-03-21,CORP-ZA,Finance,CC006,8001-Tax,Journal entry 15 - Revenue recognition,17074.76,14745.66,USD,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-03
TXN-00016,2024-11-23,CORP-US,Operations,CC003,6001-Salaries,Journal entry 16 - Payroll posting,43538.88,14992.4,GBP,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-11
TXN-00017,2024-07-04,CORP-NG,Operations,CC001,XXXX-UNKNOWN,Journal entry 17 - Expense claim,24481.42,5682.2,GBP,MS-SQL-SERVER,ORACLE-GL,ERROR,INVALID_ACCOUNT,2024-07
TXN-00018,2024-02-05,CORP-US,Operations,CC006,6003-Utilities,Journal entry 18 - Payroll posting,36622.19,36622.19,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-02
TXN-00019,2024-11-06,CORP-ZA,Operations,CC005,8001-Tax,Journal entry 19 - Expense claim,26430.92,26430.92,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00020,2024-11-28,CORP-NG,IT,CC005,6003-Utilities,Journal entry 20 - Monthly accrual,49757.95,49757.95,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00021,2024-01-11,CORP-US,Sales,CC002,5001-Revenue,Journal entry 21 - Monthly accrual,3294.89,3294.89,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00022,2024-01-17,CORP-NG,Finance,CC005,6001-Salaries,Journal entry 22 - Revenue recognition,3463.28,3463.28,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00023,2024-10-19,CORP-ZA,Operations,CC004,6003-Utilities,Journal entry 23 - Expense claim,27007.77,27007.77,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00024,2024-06-30,CORP-ZA,IT,CC004,8001-Tax,Journal entry 24 - Monthly accrual,32983.24,32983.24,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00025,2024-06-22,CORP-UK,Operations,CC002,6001-Salaries,Journal entry 25 - Payroll posting,20190.8,20190.8,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00026,2024-05-22,CORP-ZA,Operations,CC001,6003-Utilities,Journal entry 26 - Payroll posting,21151.89,21151.89,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-05
TXN-00027,2024-10-03,CORP-UK,Finance,CC002,6001-Salaries,Journal entry 27 - Asset write-off,32642.03,32642.03,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00028,2024-07-24,CORP-UK,Operations,CC004,5001-Revenue,Journal entry 28 - Asset write-off,10765.99,10765.99,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00029,2024-12-22,CORP-ZA,Operations,CC002,6002-Travel,Journal entry 29 - Expense claim,14333.94,14333.94,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-12
TXN-00030,2024-10-26,CORP-ZA,Sales,CC005,6001-Salaries,Journal entry 30 - Monthly accrual,37423.98,2952.55,GBP,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-10
TXN-00031,2024-02-04,CORP-US,IT,CC001,7001-Depreciation,Journal entry 31 - Expense claim,3519.21,3519.21,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-02
TXN-00032,2024-09-24,CORP-NG,HR,CC002,8001-Tax,Journal entry 32 - Revenue recognition,21019.32,29225.25,USD,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-09
TXN-00033,2024-12-09,CORP-NG,IT,CC003,5001-Revenue,Journal entry 33 - Monthly accrual,19849.71,19849.71,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-12
TXN-00034,2024-05-15,CORP-US,HR,CC001,6001-Salaries,Journal entry 34 - Revenue recognition,3755.71,10736.4,EUR,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-05
TXN-00035,2024-10-05,CORP-NG,Sales,CC006,7001-Depreciation,Journal entry 35 - Monthly accrual,21965.41,21965.41,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00036,2024-05-15,CORP-UK,Finance,CC006,7001-Depreciation,Journal entry 36 - Expense claim,5268.97,43918.54,EUR,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-05
TXN-00037,2024-06-24,CORP-US,Procurement,CC006,6002-Travel,Journal entry 37 - Payroll posting,30281.01,30281.01,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00038,2024-01-27,CORP-UK,Procurement,CC004,6002-Travel,Journal entry 38 - Monthly accrual,45276.29,45276.29,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00039,2024-11-22,CORP-NG,Operations,CC006,6003-Utilities,Journal entry 39 - Payroll posting,38578.85,38578.85,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00040,2024-12-19,CORP-US,Sales,CC001,6002-Travel,Journal entry 40 - Payroll posting,5682.51,47258.04,USD,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-12
TXN-00041,2024-06-06,CORP-NG,Finance,CC003,6001-Salaries,Journal entry 41 - Expense claim,6459.53,6459.53,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00042,2024-07-27,CORP-US,Operations,CC002,6001-Salaries,Journal entry 42 - Asset write-off,39027.8,39027.8,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00043,2024-06-19,CORP-ZA,Procurement,CC006,6001-Salaries,Journal entry 43 - Revenue recognition,36854.57,36854.57,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00044,2024-08-28,CORP-US,Operations,CC004,6002-Travel,Journal entry 44 - Revenue recognition,5493.97,43621.12,USD,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-08
TXN-00045,2024-04-08,CORP-ZA,HR,CC003,5001-Revenue,Journal entry 45 - Revenue recognition,1280.86,1280.86,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-04
TXN-00046,2024-10-01,CORP-NG,Finance,CC001,6002-Travel,Journal entry 46 - Expense claim,25519.34,34007.95,EUR,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-10
TXN-00047,2024-08-10,CORP-NG,Procurement,CC003,6003-Utilities,Journal entry 47 - Payroll posting,5509.29,5509.29,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-08
TXN-00048,2024-04-07,CORP-NG,Finance,CC006,6003-Utilities,Journal entry 48 - Monthly accrual,44985.29,44985.29,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-04
TXN-00049,2024-12-06,CORP-NG,Sales,CC003,8001-Tax,Journal entry 49 - Monthly accrual,21621.74,21621.74,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-12
TXN-00050,2024-12-22,CORP-NG,Sales,,6001-Salaries,Journal entry 50 - Expense claim,33377.96,16376.53,NGN,MS-SQL-SERVER,ORACLE-GL,ERROR,MISSING_COST_CENTRE,2024-12
TXN-00051,2024-03-30,CORP-NG,IT,CC005,5001-Revenue,Journal entry 51 - Revenue recognition,47024.15,33898.17,EUR,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-03
TXN-00052,2024-10-23,CORP-NG,IT,CC004,6003-Utilities,Journal entry 52 - Expense claim,21551.42,21551.42,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00053,2024-09-20,CORP-NG,Finance,CC002,8001-Tax,Journal entry 53 - Revenue recognition,8567.6,4331.3,USD,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-09
TXN-00054,2024-01-24,CORP-US,IT,CC005,5001-Revenue,Journal entry 54 - Asset write-off,7452.96,7452.96,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00055,2024-07-15,CORP-ZA,IT,CC002,6001-Salaries,Journal entry 55 - Monthly accrual,28825.98,35945.46,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-07
TXN-00056,2024-12-22,CORP-ZA,Finance,CC005,6001-Salaries,Journal entry 56 - Monthly accrual,11020.17,11020.17,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-12
TXN-00057,2024-12-07,CORP-NG,IT,CC005,8001-Tax,Journal entry 57 - Payroll posting,40090.69,40090.69,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-12
TXN-00058,2024-08-31,CORP-ZA,HR,CC002,8001-Tax,Journal entry 58 - Revenue recognition,44870.68,37208.41,NGN,MS-SQL-SERVER,ORACLE-GL,ERROR,DUPLICATE_ENTRY,2024-08
TXN-00059,2024-05-26,CORP-US,HR,CC003,6002-Travel,Journal entry 59 - Payroll posting,12038.37,22049.64,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-05
TXN-00060,2024-07-15,CORP-US,Procurement,CC002,5001-Revenue,Journal entry 60 - Asset write-off,7626.45,7626.45,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00061,2024-07-31,CORP-UK,Operations,CC004,6003-Utilities,Journal entry 61 - Payroll posting,27176.3,27176.3,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00062,2024-06-01,CORP-ZA,IT,CC005,8001-Tax,Journal entry 62 - Payroll posting,23901.29,47142.81,USD,MS-SQL-SERVER,ORACLE-GL,ERROR,CURRENCY_MISMATCH,2024-06
TXN-00063,2024-08-11,CORP-ZA,Finance,CC004,6002-Travel,Journal entry 63 - Asset write-off,11049.14,11049.14,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-08
TXN-00064,2024-11-14,CORP-UK,IT,CC005,7001-Depreciation,Journal entry 64 - Monthly accrual,45985.13,45985.13,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00065,2024-04-03,CORP-UK,HR,CC004,6002-Travel,Journal entry 65 - Expense claim,21487.78,43355.88,NGN,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-04
TXN-00066,2024-07-13,CORP-NG,IT,CC003,5001-Revenue,Journal entry 66 - Asset write-off,16941.28,16941.28,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00067,2024-06-28,CORP-US,Procurement,CC001,8001-Tax,Journal entry 67 - Monthly accrual,27017.01,49995.4,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-06
TXN-00068,2024-01-11,CORP-US,Operations,CC002,6003-Utilities,Journal entry 68 - Monthly accrual,10048.1,10048.1,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00069,2024-07-07,CORP-US,Sales,CC005,8001-Tax,Journal entry 69 - Monthly accrual,35003.3,35003.3,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00070,2024-01-14,CORP-NG,Sales,CC006,6003-Utilities,Journal entry 70 - Asset write-off,5494.13,5494.13,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00071,2024-11-17,CORP-US,Finance,CC006,6002-Travel,Journal entry 71 - Payroll posting,29645.68,29645.68,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00072,2024-07-08,CORP-UK,Sales,CC006,6002-Travel,Journal entry 72 - Monthly accrual,17425.47,21476.06,NGN,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-07
TXN-00073,2024-07-04,CORP-ZA,Procurement,CC002,6003-Utilities,Journal entry 73 - Expense claim,5366.39,5366.39,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00074,2024-10-30,CORP-NG,HR,CC002,5001-Revenue,Journal entry 74 - Revenue recognition,23297.2,41304.16,NGN,MS-SQL-SERVER,ORACLE-GL,ERROR,DUPLICATE_ENTRY,2024-10
TXN-00075,2024-10-18,CORP-ZA,HR,CC001,6003-Utilities,Journal entry 75 - Revenue recognition,37548.77,37548.77,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00076,2024-05-12,CORP-NG,HR,CC005,8001-Tax,Journal entry 76 - Revenue recognition,10684.78,10684.78,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-05
TXN-00077,2024-09-07,CORP-US,Procurement,CC004,8001-Tax,Journal entry 77 - Asset write-off,4372.09,36031.73,NGN,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-09
TXN-00078,2024-04-23,CORP-ZA,Procurement,CC002,6002-Travel,Journal entry 78 - Payroll posting,4743.36,4743.36,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-04
TXN-00079,2024-06-25,CORP-ZA,Procurement,CC005,6002-Travel,Journal entry 79 - Revenue recognition,27718.3,27718.3,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00080,2024-04-28,CORP-UK,Procurement,CC002,6002-Travel,Journal entry 80 - Monthly accrual,15400.49,15400.49,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-04
TXN-00081,2024-09-04,CORP-NG,Procurement,CC005,7001-Depreciation,Journal entry 81 - Payroll posting,10897.59,10897.59,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-09
TXN-00082,2024-05-31,CORP-US,HR,CC002,6002-Travel,Journal entry 82 - Monthly accrual,41648.16,41648.16,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-05
TXN-00083,2024-01-28,CORP-NG,Procurement,CC002,8001-Tax,Journal entry 83 - Asset write-off,2371.23,2371.23,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00084,2024-08-28,CORP-ZA,IT,CC003,6001-Salaries,Journal entry 84 - Monthly accrual,28745.8,28745.8,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-08
TXN-00085,2024-02-03,CORP-ZA,IT,CC001,7001-Depreciation,Journal entry 85 - Monthly accrual,5792.95,5792.95,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-02
TXN-00086,2024-06-04,CORP-UK,Operations,CC001,7001-Depreciation,Journal entry 86 - Asset write-off,40575.99,40575.99,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00087,2024-10-28,CORP-ZA,HR,CC005,7001-Depreciation,Journal entry 87 - Monthly accrual,22580.67,22191.78,GBP,MS-SQL-SERVER,ORACLE-GL,ERROR,CURRENCY_MISMATCH,2024-10
TXN-00088,2024-05-15,CORP-UK,Operations,CC002,6001-Salaries,Journal entry 88 - Payroll posting,31313.2,31313.2,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-05
TXN-00089,2024-08-18,CORP-ZA,HR,CC001,6001-Salaries,Journal entry 89 - Revenue recognition,233.52,233.52,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-08
TXN-00090,2024-04-29,CORP-NG,Procurement,CC005,8001-Tax,Journal entry 90 - Expense claim,42994.38,3651.87,NGN,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-04
TXN-00091,2024-11-27,CORP-US,HR,CC002,5001-Revenue,Journal entry 91 - Monthly accrual,27273.66,27273.66,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00092,2024-10-18,CORP-NG,IT,CC001,6003-Utilities,Journal entry 92 - Revenue recognition,29792.7,29792.7,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00093,2024-09-09,CORP-ZA,Finance,CC005,5001-Revenue,Journal entry 93 - Asset write-off,25073.56,25073.56,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-09
TXN-00094,2024-12-11,CORP-UK,Procurement,,6002-Travel,Journal entry 94 - Payroll posting,1390.66,11523.33,GBP,MS-SQL-SERVER,ORACLE-GL,ERROR,MISSING_COST_CENTRE,2024-12
TXN-00095,2024-11-29,CORP-ZA,HR,CC002,7001-Depreciation,Journal entry 95 - Asset write-off,23577.99,23577.99,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00096,2024-07-28,CORP-NG,HR,CC006,5001-Revenue,Journal entry 96 - Expense claim,23553.52,23553.52,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00097,2024-05-27,CORP-ZA,Sales,CC001,6003-Utilities,Journal entry 97 - Monthly accrual,34714.32,34714.32,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-05
TXN-00098,2024-07-25,CORP-UK,Procurement,CC005,6003-Utilities,Journal entry 98 - Asset write-off,16231.36,16231.36,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00099,2024-11-14,CORP-ZA,Procurement,CC004,5001-Revenue,Journal entry 99 - Expense claim,25970.13,25970.13,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00100,2024-12-23,CORP-ZA,Finance,CC001,8001-Tax,Journal entry 100 - Payroll posting,46390.87,21961.99,USD,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-12
TXN-00101,2024-10-09,CORP-ZA,Finance,CC002,5001-Revenue,Journal entry 101 - Asset write-off,8003.07,27586.87,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-10
TXN-00102,2024-05-29,CORP-NG,IT,CC004,6003-Utilities,Journal entry 102 - Expense claim,41623.94,24968.94,NGN,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-05
TXN-00103,2024-09-17,CORP-US,Finance,CC003,6003-Utilities,Journal entry 103 - Revenue recognition,19240.94,46101.22,EUR,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-09
TXN-00104,2024-06-01,CORP-ZA,Operations,CC004,7001-Depreciation,Journal entry 104 - Asset write-off,14213.67,14213.67,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00105,2024-10-05,CORP-ZA,IT,CC003,6001-Salaries,Journal entry 105 - Expense claim,27640.68,27640.68,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00106,2024-07-29,CORP-UK,HR,CC006,6003-Utilities,Journal entry 106 - Asset write-off,42815.05,42815.05,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00107,2024-03-18,CORP-ZA,Finance,CC002,7001-Depreciation,Journal entry 107 - Payroll posting,39640.44,32635.75,EUR,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-03
TXN-00108,2024-08-13,CORP-UK,Sales,CC004,5001-Revenue,Journal entry 108 - Expense claim,43722.1,43722.1,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-08
TXN-00109,2024-05-15,CORP-NG,Sales,CC006,6003-Utilities,Journal entry 109 - Monthly accrual,48500.84,3833.93,EUR,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-05
TXN-00110,2024-06-11,CORP-ZA,Sales,CC001,7001-Depreciation,Journal entry 110 - Monthly accrual,42981.17,19062.47,USD,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-06
TXN-00111,2024-04-26,CORP-UK,IT,CC001,8001-Tax,Journal entry 111 - Monthly accrual,34251.54,14440.21,NGN,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-04
TXN-00112,2024-01-15,CORP-UK,HR,CC001,6002-Travel,Journal entry 112 - Revenue recognition,34730.66,34730.66,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00113,2024-09-28,CORP-ZA,Sales,CC006,6001-Salaries,Journal entry 113 - Expense claim,7363.93,7363.93,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-09
TXN-00114,2024-07-14,CORP-US,IT,CC005,6001-Salaries,Journal entry 114 - Expense claim,30513.64,30513.64,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00115,2024-01-05,CORP-ZA,HR,CC006,7001-Depreciation,Journal entry 115 - Expense claim,12773.47,12840.8,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-01
TXN-00116,2024-10-27,CORP-NG,Procurement,CC004,8001-Tax,Journal entry 116 - Revenue recognition,47267.26,47267.26,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00117,2024-07-15,CORP-ZA,Finance,CC002,6003-Utilities,Journal entry 117 - Payroll posting,10040.93,10040.93,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00118,2024-12-03,CORP-ZA,HR,,5001-Revenue,Journal entry 118 - Payroll posting,49635.33,14832.01,GBP,MS-SQL-SERVER,ORACLE-GL,ERROR,MISSING_COST_CENTRE,2024-12
TXN-00119,2024-04-27,CORP-NG,Operations,CC006,6001-Salaries,Journal entry 119 - Payroll posting,41658.66,45156.45,EUR,MS-SQL-SERVER,ORACLE-GL,ERROR,DUPLICATE_ENTRY,2024-04
TXN-00120,2024-12-14,CORP-US,Procurement,CC001,8001-Tax,Journal entry 120 - Monthly accrual,37803.31,38396.79,EUR,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-12
TXN-00121,2024-07-05,CORP-US,Finance,CC003,6002-Travel,Journal entry 121 - Asset write-off,1764.89,1764.89,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00122,2024-10-03,CORP-NG,Sales,CC005,6002-Travel,Journal entry 122 - Expense claim,6694.77,6694.77,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-10
TXN-00123,2024-05-31,CORP-NG,Finance,CC004,5001-Revenue,Journal entry 123 - Expense claim,48372.47,48372.47,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-05
TXN-00124,2024-10-12,CORP-NG,Finance,CC004,5001-Revenue,Journal entry 124 - Revenue recognition,36238.41,48999.12,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-10
TXN-00125,2024-12-10,CORP-NG,Sales,CC004,8001-Tax,Journal entry 125 - Revenue recognition,18492.42,18492.42,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-12
TXN-00126,2024-10-14,CORP-NG,Sales,CC002,8001-Tax,Journal entry 126 - Monthly accrual,11767.71,1348.73,NGN,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-10
TXN-00127,2024-03-12,CORP-UK,Finance,CC003,6003-Utilities,Journal entry 127 - Monthly accrual,15179.29,20473.96,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-03
TXN-00128,2024-03-10,CORP-ZA,IT,CC003,8001-Tax,Journal entry 128 - Payroll posting,44374.24,44374.24,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-03
TXN-00129,2024-09-07,CORP-ZA,HR,CC001,8001-Tax,Journal entry 129 - Revenue recognition,44282.15,32780.6,USD,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-09
TXN-00130,2024-04-30,CORP-NG,Finance,CC006,6002-Travel,Journal entry 130 - Payroll posting,22290.32,22290.32,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-04
TXN-00131,2024-04-07,CORP-UK,IT,CC001,8001-Tax,Journal entry 131 - Expense claim,19967.17,19967.17,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-04
TXN-00132,2024-05-04,CORP-US,Sales,CC002,5001-Revenue,Journal entry 132 - Payroll posting,39361.05,39361.05,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-05
TXN-00133,2024-03-16,CORP-UK,HR,CC002,6001-Salaries,Journal entry 133 - Payroll posting,40671.34,11726.63,EUR,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-03
TXN-00134,2024-01-14,CORP-US,Finance,CC003,6001-Salaries,Journal entry 134 - Payroll posting,5585.32,5585.32,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00135,2024-01-27,CORP-US,Procurement,CC004,7001-Depreciation,Journal entry 135 - Monthly accrual,8794.89,8794.89,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-01
TXN-00136,2024-07-04,CORP-UK,IT,CC005,6001-Salaries,Journal entry 136 - Payroll posting,22468.93,22468.93,GBP,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-07
TXN-00137,2024-09-23,CORP-NG,IT,CC006,5001-Revenue,Journal entry 137 - Monthly accrual,39183.03,43362.35,NGN,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-09
TXN-00138,2024-02-25,CORP-ZA,Procurement,CC004,5001-Revenue,Journal entry 138 - Monthly accrual,21371.05,21371.05,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-02
