TIMESHEET_ID,EMPLOYEE_ID,JOB_TITLE,WEEK_STARTING,HOURS_WORKED,HOURLY_RATE_GBP,TOTAL_AMOUNT_GBP,PO_NUMBER,PO_APPROVED_HOURS,PO_BUDGET_GBP,MATCH_STATUS,VARIANCE_HOURS,DEPARTMENT,COST_CENTRE,SOURCE_SYSTEM,TARGET_SYSTEM,PERIOD
TS-00014,EMP-0021,Coordinator,2024-06-24,20.9,48.81,1020.13,PO-01192,25.1,1225.13,MATCHED,0.0,IT,CC004,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00015,EMP-0009,Developer,2024-07-22,21.7,77.1,1673.07,PO-01072,16.5,1272.15,UNMATCHED,5.2,Operations,CC002,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00016,EMP-0026,Consultant,2024-01-08,35.2,41.84,1472.77,PO-01020,27.7,1158.97,OVER_CLAIMED,7.5,Procurement,CC001,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00017,EMP-0003,Coordinator,2024-10-28,26.8,66.86,1791.85,PO-01137,20.4,1363.94,OVER_CLAIMED,6.4,Operations,CC004,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00018,EMP-0046,Coordinator,2024-11-04,21.2,85.31,1808.57,PO-01027,21.7,1851.23,OVER_CLAIMED,-0.5,IT,CC006,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00019,EMP-0050,Consultant,2024-05-13,31.1,81.83,2544.91,PO-01064,22.1,1808.44,UNMATCHED,9.0,HR,CC002,MS-SQL-SERVER,ORACLE-GL,2024-05
TS-00020,EMP-0013,Coordinator,2024-03-25,22.3,65.06,1450.84,PO-01172,32.1,2088.43,MATCHED,0.0,Finance,CC002,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00021,EMP-0003,Developer,2024-02-12,39.9,103.89,4145.21,PO-01132,33.3,3459.54,MATCHED,0.0,Finance,CC003,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00022,EMP-0026,Developer,2024-05-20,34.1,43.01,1466.64,PO-01031,28.2,1212.88,PARTIAL,5.9,Operations,CC002,MS-SQL-SERVER,ORACLE-GL,2024-05
TS-00023,EMP-0001,Developer,2024-02-12,28.9,41.49,1199.06,PO-01055,26.9,1116.08,MATCHED,0.0,IT,CC002,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00024,EMP-0005,Consultant,2024-01-29,36.4,51.45,1872.78,PO-01106,38.9,2001.4,MATCHED,0.0,HR,CC005,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00025,EMP-0011,Manager,2024-08-05,44.6,34.67,1546.28,PO-01025,45.3,1570.55,PARTIAL,-0.7,Sales,CC003,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00026,EMP-0009,Manager,2024-10-07,37.4,89.4,3343.56,PO-01045,46.8,4183.92,OVER_CLAIMED,-9.4,Procurement,CC006,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00027,EMP-0039,Engineer,2024-05-20,44.5,88.31,3929.8,PO-01115,35.9,3170.33,MATCHED,0.0,IT,CC005,MS-SQL-SERVER,ORACLE-GL,2024-05
TS-00028,EMP-0015,Analyst,2024-10-07,38.5,72.82,2803.57,PO-01158,42.6,3102.13,MATCHED,0.0,Finance,CC003,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00029,EMP-0009,Manager,2024-04-15,38.4,96.94,3722.5,PO-01128,40.8,3955.15,MATCHED,0.0,HR,CC002,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00030,EMP-0039,Developer,2024-03-04,29.4,85.99,2528.11,PO-01190,24.2,2080.96,OVER_CLAIMED,5.2,HR,CC002,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00031,EMP-0042,Manager,2024-04-29,27.9,99.76,2783.3,PO-01193,18.7,1865.51,UNMATCHED,9.2,Finance,CC002,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00032,EMP-0016,Coordinator,2024-11-18,28.3,48.01,1358.68,PO-01179,29.1,1397.09,OVER_CLAIMED,-0.8,Procurement,CC002,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00033,EMP-0001,Analyst,2024-09-23,41.8,74.54,3115.77,PO-01126,35.5,2646.17,OVER_CLAIMED,6.3,Finance,CC002,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00034,EMP-0012,Engineer,2024-01-22,35.9,38.45,1380.36,PO-01141,30.0,1153.5,MATCHED,0.0,Operations,CC002,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00035,EMP-0013,Consultant,2024-08-12,22.0,93.87,2065.14,PO-01109,18.2,1708.43,OVER_CLAIMED,3.8,Operations,CC005,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00036,EMP-0018,Developer,2024-04-15,27.6,79.76,2201.38,PO-01021,37.0,2951.12,MATCHED,0.0,HR,CC004,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00037,EMP-0028,Consultant,2024-06-17,24.2,66.93,1619.71,PO-01124,24.3,1626.4,OVER_CLAIMED,-0.1,Finance,CC004,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00038,EMP-0035,Consultant,2024-07-08,41.4,97.09,4019.53,PO-01142,49.8,4835.08,PARTIAL,-8.4,Procurement,CC002,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00039,EMP-0039,Developer,2024-04-22,29.5,54.06,1594.77,PO-01019,25.2,1362.31,PARTIAL,4.3,HR,CC002,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00040,EMP-0033,Coordinator,2024-11-11,31.7,39.7,1258.49,PO-01186,25.5,1012.35,MATCHED,0.0,HR,CC004,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00041,EMP-0025,Developer,2024-06-24,43.1,114.33,4927.62,PO-01079,52.5,6002.32,MATCHED,0.0,Procurement,CC005,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00042,EMP-0037,Consultant,2024-01-29,30.2,28.69,866.44,PO-01050,38.6,1107.43,UNMATCHED,-8.4,IT,CC003,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00043,EMP-0041,Coordinator,2024-12-09,42.8,93.61,4006.51,PO-01095,43.0,4025.23,UNMATCHED,-0.2,Procurement,CC001,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00044,EMP-0003,Manager,2024-10-14,29.6,65.28,1932.29,PO-01162,24.5,1599.36,UNMATCHED,5.1,Procurement,CC006,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00045,EMP-0044,Consultant,2024-01-08,37.4,86.31,3227.99,PO-01066,32.6,2813.71,UNMATCHED,4.8,Operations,CC005,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00046,EMP-0042,Coordinator,2024-09-16,43.8,104.94,4596.37,PO-01099,34.0,3567.96,MATCHED,0.0,IT,CC006,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00047,EMP-0011,Developer,2024-09-16,44.4,32.63,1448.77,PO-01065,52.6,1716.34,UNMATCHED,-8.2,Procurement,CC003,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00048,EMP-0047,Developer,2024-08-12,44.2,87.56,3870.15,PO-01193,41.9,3668.76,MATCHED,0.0,Procurement,CC001,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00049,EMP-0018,Coordinator,2024-02-12,35.9,98.79,3546.56,PO-01054,32.8,3240.31,MATCHED,0.0,Procurement,CC004,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00050,EMP-0007,Analyst,2024-11-04,27.7,118.77,3289.93,PO-01199,34.0,4038.18,MATCHED,0.0,Procurement,CC004,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00051,EMP-0024,Consultant,2024-08-19,30.4,52.39,1592.66,PO-01181,29.0,1519.31,MATCHED,0.0,Operations,CC002,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00052,EMP-0012,Consultant,2024-08-05,24.5,115.11,2820.2,PO-01016,23.5,2705.09,MATCHED,0.0,Procurement,CC002,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00053,EMP-0029,Coordinator,2024-12-23,39.0,49.64,1935.96,PO-01160,47.0,2333.08,UNMATCHED,-8.0,Finance,CC006,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00054,EMP-0022,Analyst,2024-03-11,22.0,33.14,729.08,PO-01150,14.5,480.53,MATCHED,0.0,Operations,CC004,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00055,EMP-0043,Engineer,2024-08-05,36.8,34.58,1272.54,PO-01011,28.0,968.24,MATCHED,0.0,Finance,CC002,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00056,EMP-0032,Developer,2024-08-19,39.8,60.69,2415.46,PO-01194,40.2,2439.74,MATCHED,0.0,HR,CC005,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00057,EMP-0016,Manager,2024-07-08,28.4,89.78,2549.75,PO-01171,25.3,2271.43,MATCHED,0.0,IT,CC004,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00058,EMP-0001,Developer,2024-09-30,21.4,58.82,1258.75,PO-01179,18.0,1058.76,MATCHED,0.0,IT,CC006,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00059,EMP-0049,Consultant,2024-02-26,20.6,36.67,755.4,PO-01095,21.2,777.4,OVER_CLAIMED,-0.6,IT,CC005,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00060,EMP-0001,Coordinator,2024-10-28,36.5,70.14,2560.11,PO-01083,34.8,2440.87,MATCHED,0.0,Finance,CC006,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00061,EMP-0029,Consultant,2024-06-10,41.8,117.11,4895.2,PO-01156,46.5,5445.61,OVER_CLAIMED,-4.7,IT,CC004,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00062,EMP-0043,Coordinator,2024-11-25,35.3,32.73,1155.37,PO-01026,33.9,1109.55,UNMATCHED,1.4,Procurement,CC004,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00063,EMP-0046,Engineer,2024-05-06,35.2,92.63,3260.58,PO-01009,42.6,3946.04,PARTIAL,-7.4,Operations,CC004,MS-SQL-SERVER,ORACLE-GL,2024-05
TS-00064,EMP-0011,Developer,2024-12-16,22.2,104.07,2310.35,PO-01030,32.1,3340.65,UNMATCHED,-9.9,IT,CC006,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00065,EMP-0045,Analyst,2024-08-26,26.0,45.11,1172.86,PO-01028,31.1,1402.92,OVER_CLAIMED,-5.1,IT,CC006,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00066,EMP-0015,Coordinator,2024-01-08,24.0,113.25,2718.0,PO-01066,32.1,3635.33,MATCHED,0.0,Procurement,CC004,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00067,EMP-0032,Analyst,2024-10-21,23.1,37.9,875.49,PO-01178,23.8,902.02,OVER_CLAIMED,-0.7,HR,CC002,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00068,EMP-0046,Coordinator,2024-09-09,39.2,82.06,3216.75,PO-01189,42.1,3454.73,UNMATCHED,-2.9,Procurement,CC004,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00069,EMP-0015,Manager,2024-10-14,36.1,78.38,2829.52,PO-01030,43.2,3386.02,MATCHED,0.0,HR,CC001,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00070,EMP-0008,Engineer,2024-02-19,22.2,95.36,2116.99,PO-01095,30.9,2946.62,OVER_CLAIMED,-8.7,Operations,CC003,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00071,EMP-0013,Developer,2024-06-17,34.4,25.16,865.5,PO-01109,25.6,644.1,PARTIAL,8.8,HR,CC003,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00072,EMP-0038,Consultant,2024-12-23,37.0,100.67,3724.79,PO-01028,37.4,3765.06,PARTIAL,-0.4,IT,CC001,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00073,EMP-0015,Developer,2024-08-26,41.3,55.01,2271.91,PO-01175,47.6,2618.48,MATCHED,0.0,IT,CC002,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00074,EMP-0003,Engineer,2024-09-23,27.1,95.97,2600.79,PO-01082,34.1,3272.58,OVER_CLAIMED,-7.0,HR,CC005,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00075,EMP-0041,Consultant,2024-11-04,23.1,119.7,2765.07,PO-01127,27.2,3255.84,UNMATCHED,-4.1,HR,CC006,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00076,EMP-0014,Coordinator,2024-06-17,21.5,101.97,2192.36,PO-01058,14.6,1488.76,OVER_CLAIMED,6.9,Procurement,CC006,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00077,EMP-0026,Manager,2024-01-22,43.1,98.72,4254.83,PO-01169,50.2,4955.74,OVER_CLAIMED,-7.1,Operations,CC001,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00078,EMP-0049,Developer,2024-09-02,29.8,65.13,1940.87,PO-01101,29.3,1908.31,MATCHED,0.0,Finance,CC005,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00079,EMP-0026,Analyst,2024-11-18,27.1,91.16,2470.44,PO-01034,21.0,1914.36,PARTIAL,6.1,HR,CC005,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00080,EMP-0011,Engineer,2024-12-23,21.4,113.78,2434.89,PO-01036,17.5,1991.15,OVER_CLAIMED,3.9,IT,CC006,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00081,EMP-0013,Coordinator,2024-07-29,27.3,38.76,1058.15,PO-01167,21.7,841.09,OVER_CLAIMED,5.6,Finance,CC003,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00082,EMP-0025,Developer,2024-11-18,41.4,34.69,1436.17,PO-01174,47.1,1633.9,MATCHED,0.0,Operations,CC001,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00083,EMP-0033,Coordinator,2024-02-12,28.9,70.02,2023.58,PO-01087,37.8,2646.76,MATCHED,0.0,Sales,CC004,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00084,EMP-0026,Developer,2024-03-04,35.7,63.38,2262.67,PO-01078,26.4,1673.23,MATCHED,0.0,Procurement,CC005,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00085,EMP-0043,Analyst,2024-03-18,36.3,60.66,2201.96,PO-01200,40.1,2432.47,OVER_CLAIMED,-3.8,IT,CC006,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00086,EMP-0008,Analyst,2024-06-17,26.9,87.05,2341.64,PO-01032,24.2,2106.61,MATCHED,0.0,IT,CC006,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00087,EMP-0031,Manager,2024-10-21,42.7,46.37,1980.0,PO-01178,44.4,2058.83,PARTIAL,-1.7,Procurement,CC001,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00088,EMP-0028,Manager,2024-12-16,34.8,61.48,2139.5,PO-01147,44.8,2754.3,OVER_CLAIMED,-10.0,Operations,CC001,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00089,EMP-0026,Coordinator,2024-05-20,21.6,111.34,2404.94,PO-01006,27.5,3061.85,MATCHED,0.0,IT,CC005,MS-SQL-SERVER,ORACLE-GL,2024-05
TS-00090,EMP-0035,Coordinator,2024-08-26,39.6,75.36,2984.26,PO-01167,30.9,2328.62,PARTIAL,8.7,Finance,CC002,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00091,EMP-0001,Engineer,2024-10-21,42.4,42.16,1787.58,PO-01115,44.4,1871.9,MATCHED,0.0,HR,CC001,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00092,EMP-0017,Analyst,2024-01-15,23.2,44.59,1034.49,PO-01022,16.4,731.28,PARTIAL,6.8,Finance,CC005,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00093,EMP-0001,Consultant,2024-05-13,29.1,76.72,2232.55,PO-01077,27.6,2117.47,OVER_CLAIMED,1.5,Finance,CC005,MS-SQL-SERVER,ORACLE-GL,2024-05
TS-00094,EMP-0045,Manager,2024-12-16,27.3,75.74,2067.7,PO-01134,20.1,1522.37,UNMATCHED,7.2,HR,CC005,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00095,EMP-0016,Analyst,2024-08-26,32.8,90.35,2963.48,PO-01049,36.1,3261.63,MATCHED,0.0,Operations,CC003,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00096,EMP-0018,Consultant,2024-04-01,43.9,82.2,3608.58,PO-01187,38.2,3140.04,MATCHED,0.0,Sales,CC004,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00097,EMP-0026,Developer,2024-01-29,33.7,49.76,1676.91,PO-01022,36.7,1826.19,MATCHED,0.0,HR,CC006,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00098,EMP-0047,Manager,2024-07-08,43.5,38.61,1679.54,PO-01163,37.6,1451.74,OVER_CLAIMED,5.9,Procurement,CC006,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00099,EMP-0039,Consultant,2024-03-25,37.9,78.55,2977.04,PO-01108,40.9,3212.69,PARTIAL,-3.0,Operations,CC003,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00100,EMP-0018,Analyst,2024-12-16,30.8,27.46,845.77,PO-01137,32.9,903.43,MATCHED,0.0,Finance,CC006,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00101,EMP-0050,Manager,2024-09-02,30.2,56.29,1699.96,PO-01038,22.0,1238.38,MATCHED,0.0,Operations,CC003,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00102,EMP-0008,Consultant,2024-01-01,22.4,118.05,2644.32,PO-01135,16.8,1983.24,MATCHED,0.0,Procurement,CC003,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00103,EMP-0037,Manager,2024-09-16,40.5,71.51,2896.16,PO-01142,41.1,2939.06,OVER_CLAIMED,-0.6,HR,CC005,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00104,EMP-0012,Manager,2024-02-12,42.4,41.22,1747.73,PO-01190,51.3,2114.59,UNMATCHED,-8.9,Procurement,CC005,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00105,EMP-0017,Analyst,2024-09-02,34.9,105.71,3689.28,PO-01176,34.4,3636.42,MATCHED,0.0,Sales,CC006,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00106,EMP-0004,Coordinator,2024-03-04,36.4,38.55,1403.22,PO-01164,37.8,1457.19,MATCHED,0.0,HR,CC006,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00107,EMP-0029,Manager,2024-12-09,26.2,82.83,2170.15,PO-01120,30.3,2509.75,MATCHED,0.0,Sales,CC003,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00108,EMP-0020,Coordinator,2024-04-29,43.8,74.46,3261.35,PO-01023,48.2,3588.97,MATCHED,0.0,HR,CC004,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00109,EMP-0016,Analyst,2024-12-09,27.8,33.56,932.97,PO-01043,19.4,651.06,OVER_CLAIMED,8.4,Sales,CC001,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00110,EMP-0028,Coordinator,2024-02-05,38.6,77.65,2997.29,PO-01131,38.5,2989.53,MATCHED,0.0,Procurement,CC002,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00111,EMP-0045,Analyst,2024-07-29,32.4,90.09,2918.92,PO-01104,35.9,3234.23,PARTIAL,-3.5,Finance,CC005,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00112,EMP-0035,Coordinator,2024-03-25,42.8,95.86,4102.81,PO-01089,47.1,4515.01,OVER_CLAIMED,-4.3,Operations,CC006,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00113,EMP-0044,Engineer,2024-10-21,43.8,103.22,4521.04,PO-01011,51.4,5305.51,PARTIAL,-7.6,Sales,CC004,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00114,EMP-0012,Analyst,2024-03-11,36.9,108.78,4013.98,PO-01094,37.4,4068.37,MATCHED,0.0,Operations,CC005,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00115,EMP-0008,Manager,2024-06-03,43.8,65.16,2854.01,PO-01174,41.4,2697.62,MATCHED,0.0,Operations,CC005,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00116,EMP-0014,Analyst,2024-12-09,41.4,52.56,2175.98,PO-01189,41.1,2160.22,MATCHED,0.0,Procurement,CC005,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00117,EMP-0033,Analyst,2024-06-24,25.4,53.96,1370.58,PO-01119,34.1,1840.04,OVER_CLAIMED,-8.7,Sales,CC004,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00118,EMP-0007,Analyst,2024-01-22,28.9,83.48,2412.57,PO-01090,25.5,2128.74,MATCHED,0.0,Procurement,CC002,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00119,EMP-0034,Engineer,2024-06-24,28.9,34.63,1000.81,PO-01040,28.7,993.88,MATCHED,0.0,IT,CC001,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00120,EMP-0026,Manager,2024-08-05,20.2,98.1,1981.62,PO-01077,15.2,1491.12,UNMATCHED,5.0,HR,CC004,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00121,EMP-0029,Consultant,2024-03-18,33.4,50.6,1690.04,PO-01036,43.2,2185.92,OVER_CLAIMED,-9.8,HR,CC006,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00122,EMP-0013,Manager,2024-07-08,20.1,108.94,2189.69,PO-01011,24.3,2647.24,MATCHED,0.0,Operations,CC004,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00123,EMP-0031,Coordinator,2024-07-01,38.6,110.59,4268.77,PO-01069,31.8,3516.76,MATCHED,0.0,Finance,CC004,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00124,EMP-0049,Developer,2024-08-05,33.8,100.98,3413.12,PO-01129,38.1,3847.34,MATCHED,0.0,Procurement,CC006,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00125,EMP-0010,Manager,2024-06-17,23.3,115.98,2702.33,PO-01129,29.2,3386.62,MATCHED,0.0,Finance,CC006,MS-SQL-SERVER,ORACLE-GL,2024-06
TS-00126,EMP-0048,Analyst,2024-04-15,21.3,103.83,2211.58,PO-01112,19.9,2066.22,PARTIAL,1.4,IT,CC003,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00127,EMP-0047,Engineer,2024-05-06,32.1,97.29,3123.01,PO-01048,27.1,2636.56,MATCHED,0.0,Operations,CC003,MS-SQL-SERVER,ORACLE-GL,2024-05
TS-00128,EMP-0028,Consultant,2024-12-09,22.9,50.04,1145.92,PO-01122,26.9,1346.08,OVER_CLAIMED,-4.0,Procurement,CC001,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00129,EMP-0041,Coordinator,2024-11-04,38.3,83.05,3180.81,PO-01039,32.1,2665.91,PARTIAL,6.2,Operations,CC001,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00130,EMP-0028,Analyst,2024-02-26,30.0,51.02,1530.6,PO-01158,23.8,1214.28,MATCHED,0.0,Operations,CC001,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00131,EMP-0015,Manager,2024-01-22,29.5,74.87,2208.66,PO-01110,33.5,2508.14,MATCHED,0.0,IT,CC001,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00132,EMP-0018,Manager,2024-08-12,30.7,29.91,918.24,PO-01183,22.9,684.94,MATCHED,0.0,IT,CC002,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00133,EMP-0048,Manager,2024-05-20,42.4,42.27,1792.25,PO-01055,32.4,1369.55,OVER_CLAIMED,10.0,HR,CC004,MS-SQL-SERVER,ORACLE-GL,2024-05
TS-00134,EMP-0024,Manager,2024-04-29,42.7,34.57,1476.14,PO-01078,36.4,1258.35,UNMATCHED,6.3,Finance,CC001,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00135,EMP-0024,Coordinator,2024-10-21,20.3,77.42,1571.63,PO-01093,27.5,2129.05,MATCHED,0.0,Procurement,CC005,MS-SQL-SERVER,ORACLE-GL,2024-10
TS-00136,EMP-0025,Analyst,2024-08-19,35.1,47.63,1671.81,PO-01028,30.6,1457.48,PARTIAL,4.5,Operations,CC006,MS-SQL-SERVER,ORACLE-GL,2024-08
TS-00137,EMP-0013,Consultant,2024-11-25,35.0,28.9,1011.5,PO-01181,44.4,1283.16,OVER_CLAIMED,-9.4,IT,CC001,MS-SQL-SERVER,ORACLE-GL,2024-11
TS-00138,EMP-0049,Consultant,2024-01-29,43.5,83.81,3645.74,PO-01137,39.5,3310.49,UNMATCHED,4.0,Procurement,CC002,MS-SQL-SERVER,ORACLE-GL,2024-01
